age_month,stage_name,development_goal,domain,skill,activity_idea
0,Sensory Foundation Stage,"Introduce baby to light, sound, and touch; build sensory awareness.",sensory_cognitive,Focus briefly on faces and light sources,Hold baby close to your face under soft light and let them gaze at your eyes for a few seconds.
0,Sensory Foundation Stage,Develop early visual focus and awareness.,sensory_cognitive,Responds to high-contrast black-and-white visuals,Show black-and-white cards 8–10 inches away for a few seconds while talking softly.
0,Sensory Foundation Stage,Strengthen visual tracking and contrast recognition.,sensory_cognitive,Turns head toward bright light or movement,Slowly move a contrasting object side-to-side in front of baby’s eyes for them to follow.
0,Sensory Foundation Stage,Familiarize baby with family voices.,sensory_cognitive,Recognizes caregiver’s voice and tone,Speak gently near baby’s ear and pause—notice if baby quiets or turns head toward sound.
0,Sensory Foundation Stage,Encourage auditory response to soft sounds.,sensory_cognitive,Turns head toward gentle sounds,"Use a soft rattle near baby’s head, alternating sides slowly, allowing time to respond."
0,Sensory Foundation Stage,Introduce the sense of smell.,sensory_cognitive,Begins to recognize caregiver’s scent,Place a soft cloth worn by the parent near the baby during sleep or feeding for familiarity.
0,Sensory Foundation Stage,Build tactile curiosity and comfort.,sensory_cognitive,Explores touch through skin contact,Let baby feel your hand or cheek during feeding or cuddling time.
0,Sensory Foundation Stage,Strengthen sense of balance and orientation.,sensory_cognitive,Responds to gentle movement and rocking,Hold baby securely and sway gently to soft music or humming.
0,Sensory Foundation Stage,Develop comfort with environmental sounds.,sensory_cognitive,Stays calm during low background noise,"Keep baby in the room with mild household sounds (fan, low music) to build awareness."
0,Sensory Foundation Stage,Encourage touch sensitivity and bonding.,sensory_cognitive,Responds positively to skin-to-skin contact,Hold baby against bare chest after feeding or during naps for warmth and comfort.
0,Sensory Foundation Stage,Promote awareness through texture contrast.,sensory_cognitive,"Notices changes in texture (soft, rough)",Gently let baby touch a soft cloth and a smooth silk scarf during play.
0,Sensory Foundation Stage,Stimulate auditory curiosity.,sensory_cognitive,Turns head toward caregiver’s humming,Hum softly on one side of baby’s ear and observe head turning or quieting response.
0,Sensory Foundation Stage,Build early visual curiosity.,sensory_cognitive,Gazes at slow-moving light reflection,Reflect light softly on the wall using a small mirror or metallic mobile.
0,Sensory Foundation Stage,Enhance sensory awareness during feeding.,sensory_cognitive,Associates feeding with warmth and smell,Feed in calm lighting and consistent scent (parent’s natural smell).
0,Sensory Foundation Stage,Introduce gentle sound recognition.,sensory_cognitive,Responds differently to soft vs. loud sounds,"Alternate between gentle humming and a soft bell, pausing for baby’s reaction."
0,Sensory Foundation Stage,Encourage light sensitivity.,sensory_cognitive,Blinks or squints at sudden light,Dim and brighten a nearby lamp gently during calm time.
