age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
24-26,cognitive / thinking,Stack 2–3 colored blocks in order of size,Understand cause and effect and basic shapes,['Colored blocks'],easy,5,indoor
24-26,cognitive / thinking,Place simple puzzle pieces into corresponding spaces,Develop problem-solving and spatial reasoning,['2–3 piece puzzles'],easy,7,indoor
24-26,cognitive / thinking,Sort toy animals by type,Practice categorization and logical thinking,['Toy animals or figurines'],medium,8,indoor
24-26,cognitive / thinking,Stack cups from largest to smallest,Learn sequencing and size differentiation,['Plastic cups of different sizes'],easy,5,indoor
24-26,cognitive / thinking,Match colored cards to similar objects,Recognize colors and matching skills,"['Colored cards', 'Small toys']",easy,6,indoor
24-26,cognitive / thinking,Identify which object is heavier/light in play,Explore basic physical properties and cause-effect,"['Small toys, blocks, or cups']",medium,7,indoor
24-26,cognitive / thinking,Complete simple 2-piece shape puzzles,Enhance problem-solving and shape recognition,['2-piece shape puzzles'],easy,5,indoor
24-26,cognitive / thinking,Group toys by color,Understand similarities and differences in objects,['Colored toys or blocks'],easy,6,indoor
24-26,cognitive / thinking,Build a short tower with blocks,Learn cause and effect when blocks fall,['Blocks'],easy,5,indoor
24-26,cognitive / thinking,Sort utensils into small and large,Practice comparison and categorization,['Plastic utensils of different sizes'],medium,6,indoor
24-26,cognitive / thinking,Complete simple shape-matching boards,Develop problem-solving and shape recognition,['Shape matching board'],medium,7,indoor
24-26,cognitive / thinking,Identify objects that belong together (shoe & sock),Understand relationships between objects,['Shoes and socks or toy replicas'],medium,5,indoor
24-26,cognitive / thinking,Put toy animals in their respective homes,Enhance categorization and logical thinking,"['Toy animals', 'Toy houses']",medium,8,indoor
24-26,cognitive / thinking,Sort buttons by color,Develop fine discrimination and grouping skills,['Colored buttons'],medium,7,indoor
24-26,cognitive / thinking,Play with stacking rings in size order,Learn sequencing and problem-solving,['Stacking rings toy'],easy,5,indoor
24-26,cognitive / thinking,Find hidden toy under cup,Develop object permanence and memory,['Small toy and cups'],medium,6,indoor
