age_month,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
25-27,advanced feeding & nutrition,Reduce stress around emerging picky eating.,Responding calmly to food refusal,Calm responses prevent power struggles and support healthy eating habits.,Offer small portions and remove the plate without pressure if refused.,"['Stay neutral', 'Offer variety']","['Force eating', 'Show frustration']",Repeated exposure works better than pressure.
25-27,advanced feeding & nutrition,Support independent eating skills.,Allowing self-feeding without correcting,Autonomy builds confidence and coordination.,Let the child eat independently even if messy.,"['Allow mess', 'Provide child-sized utensils']","['Hover constantly', 'Take over feeding']",Mess is part of learning.
25-27,advanced feeding & nutrition,Increase acceptance of new foods.,Reintroducing disliked foods patiently,Toddlers need multiple exposures to accept new tastes.,Serve small amounts of new foods alongside familiar ones.,"['Be patient', 'Model eating']","['Give up quickly', 'Label foods as disliked']",Neutral exposure builds curiosity.
25-27,advanced feeding & nutrition,Prevent choking risks during meals.,Preparing food in safe bite sizes,Proper food size reduces choking incidents.,Cut foods like grapes and carrots into small pieces.,"['Supervise meals', 'Modify textures']",['Serve hard round foods whole'],Size matters more than food type.
25-27,advanced feeding & nutrition,Transition fully to family meals.,Including toddler in shared mealtimes,Family meals support social learning and routines.,Serve the same food with toddler-safe modifications.,"['Eat together', 'Model table behavior']",['Prepare separate meals unnecessarily'],Togetherness encourages imitation.
25-27,sleep management,Maintain predictable sleep patterns.,Following a consistent bedtime routine,Predictability helps toddlers settle more easily.,Repeat the same steps nightly in the same order.,['Keep timing consistent'],['Change routines frequently'],Routine signals safety and rest.
25-27,sleep management,Reduce bedtime resistance.,Setting clear bedtime expectations,Clear expectations reduce negotiation and delays.,Explain bedtime steps calmly before starting.,['Use simple language'],['Argue or negotiate'],Clarity reduces conflict.
25-27,sleep management,Address early night fears gently.,Providing reassurance without overstimulation,Balanced reassurance builds security without dependency.,Use a calm voice and brief comfort.,"['Stay calm', 'Use familiar objects']",['Turn on bright lights'],Comfort without excitement.
25-27,sleep management,Support healthy daytime rest.,Maintaining one stable nap,Consistent naps prevent overtiredness.,Schedule nap at the same time daily.,['Watch sleep cues'],['Delay naps too long'],Day sleep affects night sleep.
25-27,toilet training & hygiene,Identify readiness for potty training.,Recognizing potty readiness signals,Readiness reduces resistance and stress.,Observe interest in bathroom routines and dry periods.,['Observe patiently'],['Rush training'],Readiness beats age.
