age_range,stage,domain,activity,goal,difficulty_level
2-3,Pre-School / Early Pre-K,pre academics,Recognize number 1,Identify number 1 in daily activities,easy
2-3,Pre-School / Early Pre-K,pre academics,Recognize number 2,Identify number 2 in daily activities,easy
2-3,Pre-School / Early Pre-K,pre academics,Recognize number 3,Identify number 3 in daily activities,easy
2-3,Pre-School / Early Pre-K,pre academics,Identify circle shape,Recognize basic shapes,easy
2-3,Pre-School / Early Pre-K,pre academics,Identify square shape,Recognize basic shapes,easy
2-3,Pre-School / Early Pre-K,pre academics,Identify triangle shape,Recognize basic shapes,easy
2-3,Pre-School / Early Pre-K,pre academics,Identify rectangle shape,Recognize basic shapes,easy
2-3,Pre-School / Early Pre-K,pre academics,Recognize red color,Learn primary colors,easy
2-3,Pre-School / Early Pre-K,pre academics,Recognize blue color,Learn primary colors,easy
2-3,Pre-School / Early Pre-K,pre academics,Recognize yellow color,Learn primary colors,easy
2-3,Pre-School / Early Pre-K,pre academics,Recognize green color,Learn primary colors,easy
2-3,Pre-School / Early Pre-K,pre academics,Match objects by color,Develop recognition and matching skills,easy
2-3,Pre-School / Early Pre-K,pre academics,Match objects by shape,Develop recognition and matching skills,easy
2-3,Pre-School / Early Pre-K,pre academics,Sort 2 objects by size,Learn basic size comparison,easy
2-3,Pre-School / Early Pre-K,pre academics,Sort 3 objects by size,Learn basic size comparison,easy
2-3,Pre-School / Early Pre-K,pre academics,Trace number 1,Practice fine motor skills and number recognition,easy
2-3,Pre-School / Early Pre-K,pre academics,Trace number 2,Practice fine motor skills and number recognition,easy
2-3,Pre-School / Early Pre-K,pre academics,Trace number 3,Practice fine motor skills and number recognition,easy
2-3,Pre-School / Early Pre-K,pre academics,Identify numbers in a picture book,Reinforce number recognition,easy
2-3,Pre-School / Early Pre-K,pre academics,Match objects with numbers,Link numerals to quantity,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify shapes in daily objects,Apply shape recognition in real life,medium
2-3,Pre-School / Early Pre-K,pre academics,Group objects by color,Develop sorting skills,medium
2-3,Pre-School / Early Pre-K,pre academics,Group objects by shape,Develop sorting skills,medium
2-3,Pre-School / Early Pre-K,pre academics,Count objects up to 3,Practice counting and number recognition,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify patterns with shapes,Introduce pattern recognition,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify patterns with colors,Introduce color pattern recognition,medium
2-3,Pre-School / Early Pre-K,pre academics,Match number cards to objects,Develop counting and matching skills,medium
2-3,Pre-School / Early Pre-K,pre academics,Recognize numbers 1 to 5 in environment,Identify numbers in real life,medium
2-3,Pre-School / Early Pre-K,pre academics,Sort toys by size,Practice size comparison,medium
2-3,Pre-School / Early Pre-K,pre academics,Sort toys by type,Develop categorization skills,medium
2-3,Pre-School / Early Pre-K,pre academics,Match shapes with everyday objects,Link shapes to real-life items,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify number sequences 1-3,Develop understanding of order,medium
2-3,Pre-School / Early Pre-K,pre academics,Recognize same and different objects,Introduce comparison skills,medium
2-3,Pre-School / Early Pre-K,pre academics,Match colors in nature,Link colors with real-life examples,medium
2-3,Pre-School / Early Pre-K,pre academics,Count objects during play,Practice counting in context,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify shapes in puzzles,Recognize and place shapes correctly,medium
2-3,Pre-School / Early Pre-K,pre academics,Match number of objects to numeral,Reinforce number-object correspondence,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify smallest and largest objects,Learn basic size comparison,medium
2-3,Pre-School / Early Pre-K,pre academics,Match shapes to outlines,Develop spatial recognition,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify number patterns with toys,Develop early pattern recognition,medium
2-3,Pre-School / Early Pre-K,pre academics,Group objects by more and less,Introduce comparative quantity,medium
2-3,Pre-School / Early Pre-K,pre academics,"Trace shapes (circle, square, triangle)",Practice fine motor skills and shape recognition,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify colors in storybook pictures,Recognize and name colors,medium
2-3,Pre-School / Early Pre-K,pre academics,Count and group up to 3 objects,Practice counting and grouping,medium
2-3,Pre-School / Early Pre-K,pre academics,Match colored blocks with cards,Develop color matching skills,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify shapes in daily objects,Apply shape knowledge to environment,medium
2-3,Pre-School / Early Pre-K,pre academics,Recognize numbers on toys,Reinforce number recognition,medium
2-3,Pre-School / Early Pre-K,pre academics,Match sets of objects by quantity,Develop counting and comparison skills,medium
2-3,Pre-School / Early Pre-K,pre academics,Group toys by type and color,Develop categorization and visual discrimination,medium
2-3,Pre-School / Early Pre-K,pre academics,Identify missing object in a set of 3,Develop observation and comparison skills,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Listen to a short story read aloud,Develop attention span and comprehension,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow a simple 2-step instruction,Improve listening and understanding of instructions,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow a simple 3-step instruction,Develop sequential listening skills,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in group story time,Encourage engagement and attention in groups,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Respond to simple questions after story,Enhance comprehension and recall,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Take turns speaking in a group,Learn patience and social interaction,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Share a toy with a peer,Develop social cooperation,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Sit quietly for 2 minutes during group activity,Improve self-control and attention,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Clap hands following a rhythm,Enhance attention and coordination,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Point to objects mentioned in a story,Develop listening comprehension,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow a simple classroom routine,Learn basic structure and rules,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Sing a simple song in group,Encourage participation and listening,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Play a game that requires waiting for turn,Develop patience and attention,easy
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow hand signals during group activity,Improve non-verbal attention skills,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in group circle time,Enhance social attention and engagement,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Respond to simple yes/no questions,Develop comprehension and attention,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Identify who is speaking in group,Improve social listening skills,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Repeat short phrases after teacher,Practice auditory memory and attention,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Identify objects mentioned in song,Link auditory information to visual recognition,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow simple musical cues in group,Enhance listening and coordination,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Respond to familiar commands quickly,Develop attentive listening and reaction,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in show-and-tell session,Practice attention and verbal participation,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow story sequence using pictures,Develop comprehension and sequential thinking,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in action songs with group,Combine listening with physical response,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Answer questions about story pictures,Develop comprehension and verbal response,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow multi-step classroom instructions,Improve sequential listening and attention,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Listen and identify animal sounds,Enhance auditory discrimination,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow a rhythm clapping game,Develop attention and timing,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Identify sequence of events in story,Enhance memory and comprehension,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in puppet show activity,Develop engagement and attention,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow instructions during cleanup time,Learn attention to task and responsibility,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Respond to 'Simon Says' game,Improve listening and response control,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Identify colors mentioned in group song,Link auditory information to visual recognition,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow classroom arrival routine,Develop attentiveness to structure,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in circle time greetings,Enhance social listening and engagement,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow teacher's gesture cues,Develop visual-auditory coordination,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in rhythm stick activity,Enhance auditory attention and coordination,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Identify object described by teacher,Improve listening comprehension,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow teacher’s movement instructions,Combine listening with physical response,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Answer 'who' and 'what' questions in group,Develop comprehension and verbal skills,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in group counting songs,Enhance attention and counting skills,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Identify opposite actions in group game,Improve attention to differences and instructions,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow a sequence of hand claps,Enhance sequential auditory processing,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Respond to classroom attention signals,Develop focus and response skills,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in storytelling with props,Enhance engagement and listening skills,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow short rhythmic patterns with claps,Improve auditory attention and coordination,medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Participate in group finger play activities,"Develop listening, attention, and motor coordination",medium
2-3,Pre-School / Early Pre-K,group participation / listening and attention,Follow story directions using toys,Enhance comprehension and attention skills,medium
