age_range,domain,activity,goal
5-6,cognitive / thinking,Solve simple addition problems within 20,Develop basic arithmetic skills and logical thinking
5-6,cognitive / thinking,Solve simple subtraction problems within 20,Enhance problem-solving and calculation skills
5-6,cognitive / thinking,Understand days of the week and months of the year,Learn basic time concepts and sequence of events
5-6,cognitive / thinking,"Recognize patterns using shapes, colors, and numbers",Improve pattern recognition and critical thinking
5-6,cognitive / thinking,Sequence 3–5 events in the correct order,Develop logical thinking and memory skills
5-6,cognitive / thinking,"Compare sizes of objects using bigger, smaller, taller, shorter",Understand relative measurement and observation skills
5-6,cognitive / thinking,Classify objects by more than one attribute (color and size),Enhance categorization and analytical skills
5-6,cognitive / thinking,Predict outcomes based on cause and effect,Develop reasoning and observation skills
5-6,cognitive / thinking,Remember and follow 3-step instructions,Improve memory and task completion abilities
5-6,cognitive / thinking,Understand simple money concepts using coins,Introduce early financial literacy
5-6,cognitive / thinking,"Sort objects into groups by shape, size, and color",Enhance observation and classification skills
5-6,cognitive / thinking,Solve simple word problems involving addition or subtraction,Apply math skills to real-life scenarios
5-6,cognitive / thinking,Recognize missing elements in a sequence,Develop attention to detail and logical thinking
5-6,cognitive / thinking,Compare weights of two objects using balance scales,Learn measurement concepts and comparison skills
5-6,cognitive / thinking,Use objects to represent numbers in simple equations,Strengthen counting and arithmetic understanding
5-6,cognitive / thinking,Predict what comes next in a pattern,Enhance analytical thinking and observation
5-6,cognitive / thinking,Identify same and different objects in a set,Improve classification and comparison skills
5-6,cognitive / thinking,Sort items by usage or category,Develop logical reasoning and categorization
5-6,cognitive / thinking,Count objects up to 50,Strengthen counting skills and number recognition
5-6,cognitive / thinking,"Understand simple fractions (half, whole)",Introduce basic fraction concepts
5-6,cognitive / thinking,"Identify patterns in nature (leaf shapes, animal tracks)",Connect observation skills with real-world examples
5-6,cognitive / thinking,Solve puzzles with 6–12 pieces,Enhance problem-solving and spatial reasoning
5-6,cognitive / thinking,Predict outcomes in simple experiments,Develop reasoning and curiosity
5-6,cognitive / thinking,"Recognize relationships (bigger, smaller, faster, slower)",Improve analytical thinking and comparisons
5-6,cognitive / thinking,Use visual clues to solve problems,Strengthen observation and deduction skills
5-6,cognitive / thinking,"Match objects by function (e.g., spoon with bowl)",Develop understanding of relationships and functions
5-6,cognitive / thinking,Identify patterns in numbers (odd/even),Enhance early number sense and pattern recognition
5-6,cognitive / thinking,Recognize and complete shape sequences,Improve spatial reasoning and logical thinking
5-6,cognitive / thinking,"Sort objects by size, color, and weight simultaneously",Develop multi-attribute classification skills
5-6,cognitive / thinking,Remember and repeat a short sequence of numbers,Strengthen memory and sequencing abilities
5-6,cognitive / thinking,Predict what happens next in a story,Develop logical thinking and comprehension skills
5-6,cognitive / thinking,Identify missing numbers in a sequence up to 50,Improve counting and pattern recognition skills
5-6,cognitive / thinking,Use objects to solve addition and subtraction problems,Apply math concepts practically
5-6,cognitive / thinking,Recognize same and different patterns in shapes,Enhance observation and analytical skills
5-6,cognitive / thinking,"Classify objects by size, color, and texture",Improve categorization and attention to detail
5-6,cognitive / thinking,Arrange pictures in correct chronological order,Develop sequencing and logical thinking
5-6,cognitive / thinking,"Compare quantities using terms more, less, equal",Understand numerical comparison and reasoning
5-6,cognitive / thinking,Solve simple logic puzzles,Enhance problem-solving and critical thinking
5-6,cognitive / thinking,Count forward and backward within 50,Strengthen number sequencing and counting skills
