age_year,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
5-6,advanced language & communication,Strengthen the child’s ability to speak clearly in complete sentences.,Encouraging full-sentence responses,"Full sentences improve clarity, confidence, and school readiness.",Model complete sentences and gently prompt the child to expand short answers.,"['Model full sentences', 'Wait patiently for responses']","['Interrupt', 'Accept only one-word replies']",Expand their words instead of correcting harshly.
5-6,advanced language & communication,Develop storytelling and narrative skills.,Guiding simple storytelling,"Storytelling builds memory, sequencing, and expressive language.",Ask the child to narrate daily events in their own words.,"['Listen actively', 'Ask follow-up questions']","['Rush the story', 'Correct every mistake']","Focus on flow, not perfection."
5-6,advanced language & communication,Help the child answer questions using reasoning.,Encouraging reason-based answers,Reasoning supports logical thinking and comprehension.,Ask “why” and “how” questions during conversations.,"['Encourage explanations', 'Acknowledge effort']","['Give answers immediately', 'Dismiss incorrect reasoning']",Let them think aloud.
5-6,advanced language & communication,Improve the child’s ability to describe emotions verbally.,Emotion-based conversation practice,Naming emotions helps self-regulation and empathy.,"Discuss feelings during stories, play, or daily events.","['Name emotions', 'Validate feelings']","['Ignore emotions', 'Label feelings as wrong']",Feelings become manageable when named.
5-6,advanced language & communication,Teach sequencing in communication.,Practicing event sequencing language,Sequencing supports comprehension and academic narration.,"Use prompts like first, next, then, and last in daily talk.","['Use sequence words', 'Practice daily routines']","['Jump between events', 'Rush explanations']",Daily routines are natural sequencing lessons.
5-6,advanced language & communication,Support clearer pronunciation and speech confidence.,Gentle pronunciation modeling,Clear speech improves understanding and confidence.,Repeat mispronounced words correctly without direct criticism.,"['Model correct sounds', 'Encourage practice']","['Mock speech', 'Force repetition']",Modeling works better than correcting.
5-6,advanced language & communication,Encourage polite conversational language.,Teaching polite questioning,Polite language supports social success.,Role-play asking questions using polite phrases.,"['Demonstrate manners', 'Praise polite speech']","['Ignore rude phrasing', 'Overcorrect tone']",Children copy what they hear most.
5-6,advanced language & communication,Expand vocabulary through daily interactions.,Introducing new descriptive words,A rich vocabulary supports reading and expression.,"Introduce new words during play, reading, and outings.","['Explain new words', 'Use them repeatedly']","['Overload with words', 'Expect instant recall']",Repetition builds vocabulary naturally.
5-6,advanced language & communication,Build early reading engagement.,Interactive shared reading,Interactive reading improves comprehension and interest.,Pause during reading to ask predictions and opinions.,"['Ask questions', 'Encourage participation']","['Read without interaction', 'Rush pages']",Reading together matters more than reading fast.
5-6,advanced language & communication,Encourage confident self-expression.,Supporting independent verbal expression,Confidence in speech supports classroom participation.,Give the child space to express opinions without interruption.,"['Listen fully', 'Respect opinions']","['Speak for the child', 'Dismiss ideas']",Confidence grows when children feel heard.
