age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why is it good to know what games you enjoy playing?,It helps you choose fun activities that make you happy.,"['Think about games you like.', 'Notice how they make you feel.', 'Choose to play what makes you happy.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you tell your teacher what subject you like most?,So the teacher can help you learn more about it and enjoy class.,"['Think about your favorite subject.', 'Share it with your teacher.', 'Learn more through fun activities.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why is it okay to like different foods than your friends?,"Everyone is different, and liking different things makes us unique.","['Think about what you enjoy eating.', 'Compare with friends’ choices.', 'Understand that being different is good.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you think about what makes you happy or sad?,It helps you understand your feelings and make good choices.,"['Notice what makes you feel happy or sad.', 'Talk about your feelings.', 'Choose what makes you feel better.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to know what you are good at?,It helps you grow your skills and feel confident about yourself.,"['Find what you do well.', 'Keep practicing it.', 'Feel proud and happy about your progress.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you respect your own likes and dislikes?,Because they show who you are and what makes you happy.,"['Think about your likes and dislikes.', 'Accept them as part of you.', 'Be proud of what makes you unique.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you think everyone has different favorite colors?,"People have their own choices, and that makes life colorful.","['Think about your favorite color.', 'Ask others theirs.', 'See how everyone’s choice is special.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you try new things even if you are not sure you will like them?,Trying helps you learn what you enjoy and what you don’t.,"['Try something new safely.', 'Notice if you like it or not.', 'Decide if you want to do it again.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you tell others what makes you happy?,It helps others understand you and make you feel loved.,"['Think about what makes you smile.', 'Share it with your family or friends.', 'Enjoy doing it together.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it good to know what things make you feel scared or worried?,Knowing helps you talk about it and feel safe with help from adults.,"['Notice what scares you.', 'Talk to a parent or teacher.', 'Learn ways to feel safe.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why is it fun to draw your favorite things?,It helps you express what you like through art.,"['Think of your favorite things.', 'Draw them on paper.', 'Share your art proudly.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why do people like different types of music?,Because everyone feels happy with different sounds and songs.,"['Listen to different songs.', 'See which ones make you smile.', 'Enjoy your favorites often.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you not copy what others like just to fit in?,Because being yourself makes you special and honest.,"['Think about what you truly enjoy.', 'Respect others’ choices.', 'Stay true to your own likes.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why is it important to say what you want politely?,It shows respect and helps others understand your feelings.,"['Use kind words to express wants.', 'Speak clearly and nicely.', 'Listen to others too.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what makes you feel proud?,It helps you build confidence and try harder next time.,"['Remember what made you proud.', 'Think about how you achieved it.', 'Keep doing your best.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to understand your strengths and weaknesses?,So you can improve what’s hard and feel good about what you do well.,"['Notice what you can do easily.', 'See what you find hard.', 'Practice and grow.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why is it nice to share what you like with others?,It helps you make friends and enjoy things together.,"['Talk about what you like.', 'Invite others to join.', 'Have fun together.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you talk about your feelings when you are sad?,Talking helps others understand and comfort you.,"['Notice when you feel sad.', 'Tell a trusted adult.', 'Feel better after sharing.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you learn to say what you don’t like kindly?,It helps you be honest without hurting others’ feelings.,"['Think before you speak.', 'Use gentle words.', 'Be polite even when you disagree.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you be proud of who you are?,Because everyone is special and unique in their own way.,"['Think about what makes you special.', 'Appreciate your good qualities.', 'Be confident about yourself.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you notice what makes you laugh?,Because laughter helps you know what brings you joy.,"['Think about what makes you giggle.', 'Notice when you feel happy.', 'Enjoy those fun moments often.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why do you think it’s good to have your own opinions?,It helps you think for yourself and express your ideas.,"['Think about what you believe.', 'Listen to others’ views.', 'Share your opinion kindly.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you be honest about your likes and dislikes?,Being honest helps others know you better and trust you.,"['Say what you truly feel.', 'Use kind words.', 'Be truthful even if different from others.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why is it fun to talk about your favorite toys?,Because it helps you share what you love with friends.,"['Think about your favorite toy.', 'Tell your friend why you like it.', 'Enjoy playing together.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why do you think some children like sports while others like art?,Because everyone enjoys different activities that make them happy.,"['Think about what you like to do.', 'Ask others what they enjoy.', 'Respect each other’s choices.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you learn to say no politely when you don’t like something?,It shows respect while being honest about your feelings.,"['Decide if you want or don’t want something.', 'Say no with kind words.', 'Explain your reason gently.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you think it’s nice to share your favorite story with friends?,Because it helps you connect and enjoy time together.,"['Choose a story you like.', 'Tell it to your friends.', 'Ask them what they liked too.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you notice what activities make you feel calm?,It helps you relax and stay happy when you feel upset.,"['Think about what helps you feel peaceful.', 'Do those things when you are sad or angry.', 'Stay calm and relaxed.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it helpful to know what makes you upset?,Knowing helps you control your feelings and act kindly.,"['Notice when you feel upset.', 'Think about what caused it.', 'Calm down and talk about it.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you enjoy playing with some toys more than others?,Because you like how they make you feel or what you can do with them.,"['Play with different toys.', 'Notice which ones are most fun.', 'Pick your favorites to play again.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why is it okay to change your mind about what you like?,"Because as you grow, your likes and dislikes can change too.","['Notice when you stop liking something.', 'Try new things.', 'Enjoy discovering new favorites.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you accept that others might not like the same things as you?,Because everyone is different and that makes friendships interesting.,"['Ask others what they like.', 'Listen and respect their choices.', 'Enjoy learning about their favorites.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you think about what makes you feel proud of yourself?,It helps you remember your good work and feel confident.,"['Remember something you did well.', 'Feel proud of your effort.', 'Try to do well again next time.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why do people enjoy different hobbies?,Because everyone has their own interests and talents.,"['Ask others about their hobbies.', 'Share yours too.', 'Appreciate each other’s differences.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you listen to your feelings before making choices?,Your feelings help you decide what is right for you.,"['Pause before deciding.', 'Ask yourself how you feel.', 'Choose what feels good and kind.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you think it’s okay if you like quiet time more than loud games?,Because everyone enjoys different kinds of fun.,"['Think about what feels comfortable.', 'Enjoy what suits you best.', 'Respect others’ choices too.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you say what you like when working in a group?,It helps the group plan something that everyone enjoys.,"['Share your ideas politely.', 'Listen to others’ likes.', 'Decide together as a team.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to think before saying you dislike something?,Because it helps you stay kind and not hurt anyone’s feelings.,"['Pause before speaking.', 'Think of gentle words.', 'Share your thoughts politely.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you be happy about what makes you special?,Because being yourself is what makes you wonderful.,"['Think about what makes you different.', 'Feel proud of it.', 'Show kindness to others too.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why do you think people have different dreams for the future?,Because everyone has different talents and goals.,"['Think about what you want to be.', 'Share your dream with family.', 'Work hard to make it real.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why should you know what makes you smile every day?,Because smiling helps you stay happy and positive.,"['Think about what makes you smile.', 'Do those things often.', 'Share your smile with others.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why is it good to notice what makes you feel tired?,So you can rest and take care of your body and mind.,"['Notice when you feel tired.', 'Stop and rest for a while.', 'Feel better and refreshed again.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why is it important to understand your feelings before reacting?,Because it helps you respond calmly and make better choices.,"['Pause when you feel strong emotions.', 'Think about why you feel that way.', 'Act kindly and wisely.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you like spending time with some people more than others?,Because you feel happy and comfortable around them.,"['Think about who makes you happy.', 'Spend more time with them.', 'Be kind to all people.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you learn to express your feelings using words?,So others can understand and help you when needed.,"['Identify your feeling.', 'Use words to explain it.', 'Ask for help if you need it.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",hard,reasoning,Why should you not feel bad if your likes are different from your friends?,Because everyone has their own choices and that makes you unique.,"['Think about what makes you happy.', 'Accept that others may choose differently.', 'Be proud of who you are.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",easy,reasoning,Why do you like some colors more than others?,Because colors can make you feel happy or calm.,"['Look at different colors.', 'See how they make you feel.', 'Pick your favorite ones.']"
5–7,Civics / Moral Education,"Self-awareness: knowing oneself, likes and dislikes",medium,reasoning,Why should you know what helps you focus in school?,It helps you learn better and enjoy studying.,"['Notice when you can listen best.', 'Avoid things that distract you.', 'Stay calm and focused in class.']"
