age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,What is a computer?,A computer is a machine that helps us work and play.,"Explain that a computer is not alive but can do many tasks.,  Show that it follows instructions.,  Give examples like watching cartoons or drawing."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Name one thing you can do on a computer.,You can play games on a computer.,"Ask what activities they like.,  Connect that to a computer task like gaming or drawing.,  Explain computers help with fun and learning."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,analytical,Why do people use computers at school?,People use computers to learn and do schoolwork.,"Talk about how computers can show lessons and pictures.,  Explain they help write or draw things easily.,  Show that computers make learning faster and fun."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,How does a computer help at home?,It helps to watch movies and find songs.,"Explain computers can show videos and play sounds.,  Give examples like watching cartoons or listening to music.,  Conclude that computers are helpful for fun at home."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Who uses computers?,"Students, teachers, and parents use computers.","Ask who the child sees using computers.,  List people like teachers or office workers.,  Show that many people use computers every day."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,practical,What can a doctor do with a computer?,A doctor can look at patient reports on a computer.,"Explain that computers store patient information.,  Show that doctors can check it easily.,  Conclude that computers help doctors work faster."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,How does a computer help people do their jobs?,"It helps people write, count, and share information quickly.","Talk about how computers can do many types of work.,  Give examples like typing letters or counting money.,  Explain that computers save time and help people work better."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,practical,Can you draw on a computer?,"Yes, you can draw pictures using drawing software.","Show how drawing programs work.,  Let children try using a mouse to draw.,  Explain that a computer can be like a coloring book."
5–7,Computer Science / Information Technology,What is a computer and its uses,medium,descriptive,Why do we need a computer?,"We need it to learn, work, and play.","List simple uses like studying and having fun.,  Explain that computers make work easier.,  Summarize that computers are helpful in many ways."
5–7,Computer Science / Information Technology,What is a computer and its uses,hard,analytical,What makes a computer different from a toy?,"A computer can do many things, but a toy does only one thing.","Compare computer to toy examples.,  Explain that a toy can only play one game.,  Show that a computer can play,  draw,  write,  and more."
5–7,Computer Science / Information Technology,What is a computer and its uses,easy,descriptive,Is a computer a living thing?,"No, a computer is a machine made by people.","Ask if computers eat or breathe.,  Explain that it only works when we turn it on.,  Conclude it’s a machine,  not alive."
