age_group,environment,topic,scenario,safety_category,response_guidance,learning_goal,emotional_tone,message_style,trusted_action,complexity_level,reviewed_by
4–5,Home,Household Safety,"You see a shiny object on the kitchen counter that looks like candy, but it’s medicine.",Unsafe behavior,Do not touch or eat anything unless a grown-up gives it to you.,Recognize that not everything that looks like candy is safe.,Gentle,Story,Ask a parent or elder before touching or eating unknown things.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice the stove glowing red while a parent is cooking.,Fire hazard,Stay away from the stove and let adults do the cooking.,Understand that hot surfaces can burn.,Gentle,Story,Stand back and tell a parent if you need to reach something nearby.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see an open plug socket on the wall.,Electrical safety,Never put fingers or objects into sockets.,Learn that electricity can hurt you if used wrong.,Gentle,Rule chart,Tell an adult to use plug covers or fix it.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find scissors on the table and want to play with them.,Sharp object hazard,Do not play with scissors or knives.,Understand that sharp tools can cause cuts.,Gentle,Story,Call an adult to put them away safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a bucket of water left in the bathroom.,Drowning risk,Do not play near buckets or tubs of water.,Know that even little water can be unsafe without adults.,Gentle,Story,Tell a parent or older person right away.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to help clean and pick up a spray bottle under the sink.,Chemical safety,Do not touch cleaning bottles or sprays.,Understand that cleaning liquids are not safe for children.,Gentle,Story,Ask a parent before touching cleaning things.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,Someone rings the doorbell while your parents are busy.,Stranger safety at home,Never open the door by yourself.,Learn that only adults should open doors to visitors.,Gentle,Rule chart,Call your parent or trusted adult to check the door.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,Your toy rolls under a table full of glass items.,Breakable items,Ask an adult for help before reaching in tight or risky spaces.,Understand that glass or heavy things can fall and break.,Gentle,Story,Wait for adult help to get your toy.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You spill water on the floor while drinking.,Slip hazard,Tell an adult to help clean it up.,Know that slippery floors can cause falls.,Gentle,Story,Use a towel with an adult’s help to dry it.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a candle burning on the table.,Fire safety,Never touch candles or go near open flames.,Understand that fire can burn and must be handled by adults.,Gentle,Story,Tell a parent if a candle is left burning.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find a button battery on the floor from a toy.,Choking and poison hazard,Never put small objects in your mouth.,Learn that small things can get stuck or be harmful.,Gentle,Story,Show it to an adult immediately.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You want to climb on a chair to reach a high shelf.,Fall hazard,Do not climb furniture or shelves.,Recognize that climbing can lead to falls.,Gentle,Story,Ask an adult to help reach things that are high up.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a box of matches in a drawer.,Fire hazard,Never touch matches or lighters.,Understand that fire-starting tools are not toys.,Gentle,Rule chart,Tell an adult if you see matches or lighters.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You take a bath and someone knocks on the door.,Body privacy,Say 'I’m in the bath' and do not open the door.,Understand that bath time is private.,Gentle,Story,Wait until you are dressed to talk to anyone.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You hear a strange noise and feel scared.,Emotional safety,Go to a trusted adult and tell them how you feel.,Learn to seek help when something feels unsafe.,Comforting,Story,Stay near trusted adults when you feel afraid.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find a pet’s food and think it looks fun to play with.,Hygiene safety,Do not touch or eat pet food.,Understand that pet food is not for children.,Gentle,Story,Tell an adult if you spill or touch pet food.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see your sibling playing with a plug wire.,Electrical safety,Tell them to stop and inform an adult.,Know that wires and plugs are not toys.,Gentle,Rule chart,Move away and call a parent.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You notice smoke or smell something burning.,Fire emergency,"Go to an adult right away, don’t hide.",Understand what to do if there’s smoke or fire.,Calm,Story,Find a trusted adult and go outside safely.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You see a plastic bag on the floor and think it’s fun to play with.,Suffocation hazard,Never put plastic bags near your face.,Know that plastic bags can stop air from coming in.,Gentle,Story,Ask an adult to put it away safely.,1,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You are home with your grandparent and the lights go out suddenly.,Power outage safety,Stay calm and find your grandparent; do not walk in dark alone.,Learn what to do when lights go out.,Comforting,Story,Stay close to adults until the lights return.,2,"['Child safety educator', 'Early childhood expert']"
4–5,Home,Household Safety,You find coins and want to put them in your mouth like pretend food.,Choking hazard,Never put small things in your mouth.,Understand that coins and toys can block breathing.,Gentle,Story,Show the coins to an adult to keep safely.,1,"['Child safety educator', 'Early childhood expert']"
