age_group,subject,topic,difficulty_level,example_type,input,output,solution_steps
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who are the people in your family?,"Parents, grandparents, brothers, and sisters are family members.","['Think about people who live with you.', 'Family members are those who care for and help you.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,conceptual,What do you call the place where you live?,It is called your home.,"['Every person stays in a house.', 'A house where we live with our family is called our home.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,situational,"If your neighbour falls down, what should you do?",You should help them or call an elder for help.,"['We must be kind to neighbours.', 'Helping others shows good behaviour.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why is your family important to you?,They take care of you and love you.,"['Families provide love and safety.', 'They help us grow and learn good values.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who are your neighbours?,People who live near your house are your neighbours.,"['Look around your house.', 'Houses nearby have people called neighbours.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How do families help make a neighbourhood happy?,Families help each other and keep the area clean and friendly.,"['Good families share and care.', 'Working together keeps neighbourhoods safe and happy.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do you call your mother’s mother?,Grandmother.,"['Your mother’s mom is your grandmother.', 'She is part of your extended family.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,Your friend just moved into your street. What can you do to make them feel welcome?,Say hello and invite them to play.,"['Be friendly to new people.', 'Smile and talk kindly to make them comfortable.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,conceptual,What do you do together with your family on weekends?,"We spend time, eat, and play together.","['Think of weekend activities.', 'Families bond through time spent together.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why is it important to know your address?,So you can tell others where you live if needed.,"['Knowing your address helps in emergencies.', 'It tells others how to find your home.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who keeps your house clean and safe?,Our family members help keep it clean and safe.,"['Everyone at home has a role.', 'Keeping clean helps us stay healthy.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How can you show respect to elders in your family?,"By listening, greeting, and helping them.","['Respect means being kind and polite.', 'Elders appreciate when we help them.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,situational,Your neighbour’s pet ran away. What should you do?,Help them look for it and tell an adult.,"['We help our neighbours in trouble.', 'Adults can help solve the problem safely.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Where do you eat meals with your family?,"At home, usually at the dining table.","['Meals are eaten together.', 'It helps families share their day.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If someone new moves into your building, what should you say?","You can say, 'Welcome to our neighbourhood!'","['Greeting new people builds friendship.', 'Being kind makes them feel at home.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,conceptual,Who helps you when you are sick at home?,My parents or elders help me.,"['Family cares when we’re unwell.', 'They comfort and give medicine or call a doctor.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,What would happen if neighbours did not help each other?,The neighbourhood would be sad and unfriendly.,"['Helping others builds trust.', 'Without help, people may feel lonely or unsafe.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,What do families celebrate together?,"Birthdays, festivals, and special days.","['Families enjoy festivals and events together.', 'Celebrations create happy memories.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,situational,"If you see trash on your street, what can you do?",Pick it up safely or tell an adult.,"['Keeping surroundings clean helps everyone.', 'We must take care of our neighbourhood.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How can children help make their neighbourhood better?,"By being kind, keeping it clean, and helping others.","['Even small actions make a difference.', 'Working together makes communities happy.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why do families live together?,Because they love and care for each other.,"['Families support one another.', 'Living together helps them share love and work.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How does being polite make your neighbourhood better?,It helps everyone get along and stay happy.,"['Politeness shows respect.', 'Respect creates peace in the community.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What is a family?,A group of people who love and care for each other.,"['Families can have parents, children, and grandparents.', 'They live together and help one another.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If your friend falls while playing, what should you do?",Help them up and check if they are okay.,"['Helping friends shows kindness.', 'It makes friendships stronger.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why is it good to celebrate festivals with neighbours?,It brings everyone together in joy and friendship.,"['Festivals create unity.', 'They help neighbours know and enjoy each other’s culture.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who delivers letters in your neighbourhood?,The postman or postal worker.,"['Postmen deliver letters and parcels.', 'They help us send messages to people far away.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do you call the people who live around you?,My neighbours.,"['Neighbours are families living near each other.', 'They form our local community.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should we share things with our neighbours?,Sharing builds friendship and trust.,"['Sharing helps people feel cared for.', 'It makes the neighbourhood happier.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How can you show respect to older people in your neighbourhood?,By greeting them politely and helping them when needed.,"['Respecting elders shows good manners.', 'It helps build kindness in the community.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Where do you live?,I live in my house with my family.,"['Our home is where we eat, sleep, and play.', 'It keeps us safe from weather and danger.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,Your neighbour’s pet is lost. What can you do to help?,Help them look around and call the pet’s name.,"['Helping shows care for others.', 'It makes you a good neighbour.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why is it important to follow rules at home and in your neighbourhood?,Rules keep everyone safe and happy.,"['Rules teach us what is right.', 'They help people live together peacefully.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who collects garbage in your neighbourhood?,The garbage collector or sanitation worker.,"['They help keep the streets clean.', 'Clean places are healthy and nice to live in.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do neighbours do for each other?,They help and take care of one another.,"['Neighbours can share food or help in need.', 'Kindness makes strong communities.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should we thank people who help us?,To show we appreciate their kindness.,"['Saying thank you shows respect.', 'It encourages people to help again.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,situational,"If your neighbour’s car blocks your way, what should you do?",Talk to them politely and ask to move it.,"['Speaking kindly avoids conflict.', 'Good manners solve problems peacefully.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,conceptual,What makes your family special?,Every family is special because they love and care for each other.,"['Families may be big or small.', 'Love makes all families special.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If your neighbour invites you to a festival, what should you do?",Go with your parents and enjoy with respect.,"['Joining festivals builds friendship.', 'Respecting others’ culture is important.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How can you help make your neighbourhood safer?,"By following rules, not talking to strangers, and helping others safely.","['Safety rules protect everyone.', 'Responsible actions make safe neighbourhoods.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who takes care of you at home?,My parents or guardians take care of me.,"['Parents make sure we are safe and happy.', 'They help us with food, school, and love.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should we listen to our parents?,Because they teach us right and wrong.,"['Parents have experience and love us.', 'Listening helps us learn good behaviour.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How can helping at home make you responsible?,It teaches you to care for others and finish tasks.,"['Doing chores builds responsibility.', 'It shows teamwork with family members.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If your neighbour drops their groceries, what can you do?",Help them pick it up.,"['Helping others is a kind act.', 'It shows you are a caring neighbour.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,conceptual,Where do you sleep at night?,In my bed at home.,"['Homes give us a safe place to sleep.', 'It protects us from cold and rain.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,situational,Your neighbour forgot their umbrella and it starts raining. What can you do?,You can share your umbrella or call them inside to stay dry.,"['Sharing helps others stay comfortable.', 'Kind acts make good neighbours.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who takes care of plants in your neighbourhood garden?,The gardener or people living nearby.,"['Gardens need water and care.', 'People help plants grow by watering them.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What is your name?,It is the name my parents gave me.,"['Everyone has a name.', 'Names help others identify us.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How can children show love to their family?,"By listening, helping, and being kind.","['Love is shown through good actions.', 'Helping shows care and respect.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why is it important for families to spend time together?,It helps them understand and love each other more.,"['Spending time builds strong bonds.', 'It makes family life happy and peaceful.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,situational,"If your friend visits your home, what should you do?",Welcome them and share your toys or snacks.,"['Being kind makes friends happy.', 'Sharing shows good manners.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who repairs lights and wires in your house?,An electrician.,"['Electricians fix electrical problems.', 'They help keep homes safe and bright.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why do we celebrate birthdays with our family?,To show love and make special memories together.,"['Celebrations bring happiness.', 'They remind us that we are loved.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why is your neighbourhood important?,"Because it’s where you live, learn, and play.","['Neighbourhoods have people, parks, and shops.', 'It’s our small community.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do you see in your neighbourhood?,"Houses, trees, roads, and people.","['Neighbourhoods have many things around us.', 'They make our surroundings lively.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,situational,"If your neighbour’s child is lost, what should you do?",Tell your parents or a trusted adult to help.,"['Never go alone to find them.', 'Adults can handle such situations safely.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why do we greet our neighbours?,To be polite and friendly.,"['Greeting shows respect.', 'It builds positive relationships.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,situational,"If you borrow a toy from your neighbour, what should you do after playing?",Return it nicely and say thank you.,"['Returning things shows honesty.', 'Thanking shows good manners.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who helps when there is a fire in your neighbourhood?,Firefighters help during a fire.,"['Firefighters use water and hoses.', 'They protect people and homes from fire.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why should we care for our family and neighbours?,Because caring makes everyone happy and safe.,"['Caring builds trust and love.', 'It creates a happy community for all.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who are your family members?,"My father, mother, grandparents, and siblings.","['Families can be big or small.', 'They live together and help one another.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why do we respect our elders?,Because they are older and have more experience.,"['Elders guide us with wisdom.', 'Respecting them shows good manners.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How does your family support you every day?,"They help me learn, eat, and stay safe.","['Families provide care and love.', 'They help us grow and feel secure.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,situational,"If your little brother drops his toy, what should you do?",Pick it up and give it back to him.,"['Helping family shows kindness.', 'It keeps everyone happy.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who keeps our neighbourhood clean?,Sweepers and people who don’t litter.,"['Everyone should keep the area clean.', 'Clean surroundings keep us healthy.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why is sharing important in a family?,Because it helps everyone feel loved and equal.,"['Sharing builds trust and happiness.', 'It teaches us to care for others.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If you find a lost wallet in your neighbourhood, what should you do?",Give it to an adult or the owner.,"['Being honest builds trust.', 'Returning lost things is the right thing to do.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What is your house made of?,"It is made of bricks, wood, and cement.","['Houses are built to protect us.', 'They are made from strong materials.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why do we have neighbours?,Because people live near each other and form a community.,"['Neighbours help and care for each other.', 'They make the place friendly and safe.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How do good neighbours make a community strong?,"They help, respect, and support one another.","['Good relationships build unity.', 'It makes the community peaceful and happy.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If your friend moves into your neighbourhood, what can you do to welcome them?",Visit them and introduce yourself.,"['Welcoming new people builds friendship.', 'It helps them feel comfortable.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why should families follow rules at home?,"To stay organized, safe, and happy.","['Rules help everyone know what’s right.', 'They make home life peaceful.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do you call people living near your house?,They are my neighbours.,"['Neighbours live close by.', 'We should be kind to them.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why do families celebrate festivals together?,To have fun and strengthen family bonds.,"['Celebrations bring happiness.', 'They remind us of our culture and love.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,situational,"If you see someone throwing garbage on the street, what can you do?",Tell them politely to use the dustbin or inform an adult.,"['Keeping surroundings clean is everyone’s job.', 'Polite reminders encourage good habits.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,situational,"If your neighbour’s pet is lost, what can you do?",Help them look for it with an adult.,"['Helping builds trust.', 'It shows kindness to both people and animals.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who collects our garbage in the neighbourhood?,The sanitation worker or garbage collector.,"['They keep our area clean.', 'Their work is important for health.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How does helping at home make your parents happy?,It shows love and teamwork.,"['Helping reduces their work.', 'It makes everyone feel cared for.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If an elderly neighbour needs help crossing the street, what should you do?",Call an adult to help them cross safely.,"['It’s important to be careful on roads.', 'Helping elders shows respect.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who cooks food in your home?,My parents or grandparents cook food.,"['Different family members share work.', 'Cooking provides food for everyone.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should you say 'thank you' to people who help you?,Because it shows respect and good manners.,"['Saying thank you shows gratitude.', 'It makes others feel appreciated.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How do families teach children about right and wrong?,By guiding them and setting examples.,"['Parents and elders explain good behaviour.', 'They correct mistakes with love and care.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,situational,"If your friend forgets their lunch, what can you do?",Share your lunch with them.,"['Sharing helps others feel cared for.', 'It builds strong friendships.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who helps sick people in your neighbourhood?,Doctors and nurses help sick people.,"['Doctors treat illnesses.', 'They work to keep us healthy.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why should we keep our neighbourhood clean?,Because it keeps everyone healthy and happy.,"['Clean places prevent diseases.', 'It shows we care for our surroundings.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Where do you go to play with your friends?,I play in the park or playground.,"['Parks are safe open spaces.', 'They help children stay active and happy.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If your neighbour needs help carrying something heavy, what should you do?",Ask an adult and help them together.,"['Helping others shows kindness.', 'It builds good relationships.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How can you show that you are a good neighbour?,"By being kind, polite, and helpful.","['Good behaviour builds trust.', 'Kindness makes everyone happy around you.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who helps to keep our streets safe?,The police officers keep our streets safe.,"['Police protect people from danger.', 'They make sure rules are followed.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why should you follow family rules?,To keep peace and order at home.,"['Rules help us live together happily.', 'They teach discipline and respect.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,What happens if people in a neighbourhood do not cooperate?,It becomes difficult to live happily together.,"['Cooperation helps solve problems.', 'Without it, people may argue or feel unsafe.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,situational,"If you see your neighbour watering plants, what can you do?",Offer to help them water the plants.,"['Helping makes the work easier.', 'It shows care for nature and neighbours.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,factual,Who delivers letters in your area?,The postman or mail carrier delivers letters.,"['Postmen carry and deliver mail.', 'They connect people through letters.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,How can you help make your neighbourhood a better place?,"By keeping it clean, being kind, and following rules.","['Good citizens care for their community.', 'Respectful actions improve neighbourhood life.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do you call the people who live together in your home?,They are my family members.,"['Families stay together.', 'They care and support one another.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,situational,"If your neighbour’s child falls while playing, what should you do?",Call an adult and help the child carefully.,"['Helping others shows kindness.', 'Adults can give first aid if needed.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,conceptual,Why do we need both family and neighbours?,Because they help us in different ways and make life better.,"['Families support us daily.', 'Neighbours help us in the community.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why do you think rules are needed in your neighbourhood?,To keep everyone safe and happy.,"['Rules prevent accidents and fights.', 'They help people live peacefully.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,situational,"If there is a problem in your neighbourhood, like water leakage, what should you do?",Inform your parents or local authorities to fix it.,"['Reporting problems helps keep things working.', 'Working together solves community issues.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who helps you get ready for school in the morning?,My parents or guardians help me get ready.,"['Think about your morning routine.', 'Identify who wakes you up or helps with clothes.', 'Say their name or role, like mom or dad.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why is it important to know your home address?,It helps others find your home or help you if you are lost.,"['Addresses tell where someone lives.', 'If you get lost, you can tell your address to helpers.', 'Knowing it keeps you safe.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,How do families show love and care for each other?,"They help, share, and spend time together.","['Think about what families do together.', 'Identify actions like helping or sharing meals.', 'Explain how these show love.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What is the name of the place where you live?,It is my neighbourhood.,"['Think about your street or area.', 'The group of homes near you is called a neighbourhood.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How do neighbours help each other?,"They share, help in need, and keep the area clean.","['Think about people who live near you.', 'Notice how they help when someone needs something.', 'Describe ways of helping like lending or cleaning.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why is it important to respect neighbours?,Respect keeps everyone friendly and happy.,"['Respect means being kind and polite.', 'When you respect others, they respect you.', 'It helps everyone live peacefully.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who are the members of your family?,"My family has my parents, siblings, and me.","['Think about people who live with you.', 'List your parents and brothers or sisters.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why do families celebrate birthdays together?,To show love and make the person feel special.,"['Think about how you celebrate birthdays.', 'Understand it’s a way to show care and joy.', 'Family gatherings make it special.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,How do family rules help everyone at home?,Rules keep things fair and organized.,"['Rules tell us what to do and not do.', 'They prevent fights and confusion.', 'Following rules makes home peaceful.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who do you call when you need help at home?,I call my parents or an elder family member.,"['Think about who you go to when something goes wrong.', 'They are usually adults who care for you.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,Why is it good to greet people in your neighbourhood?,It shows kindness and helps make friends.,"['Greeting makes others feel happy.', 'It helps build friendly relationships.', 'It keeps the community warm and kind.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,Who takes care of you when you are sick?,My parents or family members take care of me.,"['Think about who gives you food or medicine when sick.', 'They are your caregivers.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How can you be a good neighbour?,"By helping, being polite, and sharing.","['Think about what makes people like each other.', 'Helping and sharing create good bonds.', 'Good manners make neighbourhoods peaceful.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why should families spend time together every day?,"It helps them talk, bond, and stay happy.","['Spending time helps family members understand each other.', 'It builds love and care.', 'It makes home a happy place.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What is your name and your best friend’s name?,My name is ____ and my best friend’s name is ____.,"['Say your own name.', 'Say the name of your best friend from school or home.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How can you help your parents at home?,I can clean my toys and help set the table.,"['Think about small tasks you can do.', 'Helping shows love and responsibility.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why is it important to keep our home and surroundings clean?,Clean places keep us healthy and happy.,"['Dirt can make people sick.', 'Clean surroundings make everyone feel good.', 'It shows care for others too.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,What makes your neighbourhood special?,"The people, parks, and activities make it special.","['Think about things you like nearby.', 'It could be a park, shop, or friendly people.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,How can you make new friends in your neighbourhood?,By talking kindly and playing together.,"['Start with greetings.', 'Be friendly and share toys or games.', 'Being kind helps make new friends.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How can you help keep your neighbourhood safe?,By following rules and reporting unsafe things to adults.,"['Understand that safety needs everyone’s help.', 'You can follow traffic and playground rules.', 'Tell adults if you see danger or bad behavior.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why should we be friendly to new families in our neighbourhood?,It makes them feel welcome and builds friendship.,"['New families may not know anyone.', 'Being friendly helps them feel comfortable.', 'Friendship strengthens the community.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do you call your father’s mother?,I call her my grandmother.,"['Your father’s mother is your grandmother.', 'Grandparents are part of the family.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,What happens if people in a family don’t help one another?,It can cause sadness and problems at home.,"['Helping keeps everyone happy and safe.', 'Without help, work becomes harder.', 'Families work best when they care for each other.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,What can you do to make your neighbourhood beautiful?,I can plant trees and keep it clean.,"['Beautiful places are clean and green.', 'Avoid littering and help plant flowers or trees.']"
5-7,Social Studies,"About self, family, and neighbourhood",hard,reasoning,Why should we respect elders in our community?,They have experience and deserve kindness.,"['Elders teach and guide younger people.', 'Respect shows gratitude for their wisdom.', 'Communities stay strong when elders are respected.']"
5-7,Social Studies,"About self, family, and neighbourhood",easy,factual,What do you do with your family on weekends?,"We play, watch movies, or visit relatives.","['Think about your usual weekend family time.', 'Describe one or two fun activities you do together.']"
5-7,Social Studies,"About self, family, and neighbourhood",medium,conceptual,How do you show love to your family?,"By helping, listening, and saying kind words.","['Think about things that make your family happy.', 'Simple acts like helping or hugging show love.']"
